Código ID,Data ,Coordenada,Família,Gênero,Espécie,Nome popular,Classificação,Altura (m),Cap (cm),Dap (cm),Flor,Fruto,Tronco,Observação,Coletada
4/38,14/1/2025,-,Anacardiaceae,Schinus ,Schinus terebinthifolia Raddi,pimenta rosa,nativa,7.6,84,27,,,,,
4/39,14/1/2025,-,Anacardiaceae,Anacardium,Anacardium occidentale L.,caju,nativa,6,30,10,,,,,
4/40,14/1/2025,-,Myrtaceae,Syzygium,Syzygium cumini (L.) Skeels,jamelão,naturalizada ,14,121,39,,,,,
4/41,14/1/2025,-,Anacardiaceae,Anacardium,Anacardium occidentale L.,caju ,nativa,4.5,38,12,,,,,
4/42,14/1/2025,-,Anacardiaceae,Anacardium,Anacardium occidentale L.,caju,nativa,5,32,10,,,,,
4/43,14/1/2025,-,Anacardiaceae,Anacardium,Anacardium occidentale L.,caju,nativa,4.5,18,6,,,,,
4/44,23/1/2025,-,Lythraceae,Physocalymma,Physocalymma scaberrimum  Pohl,cega machado ,nativa,10,42,13,,,,,
4/45,23/1/2025,-,Malvaceae,Ochroma,Ochroma pyramidale (Cav. ex Lam.) Urb.,pau de balsa,nativa,20,155,49,,,,,
4/46,23/1/2025,-,Solanaceae ,Solanum,Solanum falciforme Farruggia,lobeira,nativa,5,28,9,,,,,
4/47,23/1/2025,-,Bignoniaceae,Machaerium,Machaerium aculeatum Raddi,Jacarandá bico de pato,nativa,13,88,28,,,,,
4/48,23/1/2025,-,Bignoniaceae,Machaerium,Machaerium aculeatum Raddi,Jacarandá bico de pato,nativa,8,48,15,,,,,
4/49,23/1/2025,-,Bignoniaceae,Tabebuia,Tabebuia roseoalba (Ridl.) Sandwith,ipê branco,nativa,6,78,25,,,,,
4/50,30/1/2025,-,Fabaceae,Inga,Inga laurina (Sw.) Willd.,ingá branco,nativa,8,81,26,,sim,,,
4/51,30/1/2025,-,Anacardiaceae,Mangifera,Mangifera indica L.,mangueira,cultivada,5,38,12,,,,,
4/52,30/1/2025,,Anacardiaceae,Mangifera,Mangifera indica L.,mangueira,cultivada,11,110,35,,,,,
4/53,30/1/2025,,Anacardiaceae,Mangifera,Mangifera indica L.,mangueira,cultivada,11,123,39,,,,,
4/54,30/1/2025,,Fabaceae,Calliandra,Calliandra brevipes Benth.,caliandra rosa,nativa,"4,5",17,5,sim,,,,
4/55,30/1/2025,,Sapindaceae,Sapindus,Sapindus saponaria L.,Saboneteira,nativa,9,65,21,,sim,,,
4/56,30/1/2025,,Anacardiaceae,Mangifera,Mangifera indica L.,Mangueira,cultivada,11,58,18,,,,,
4/57,30/1/2025,,Anacardiaceae,Mangifera,Mangifera indica L.,Mangueira,cultivada,5,43,14,,,,,
